frame_idx,fid3d_idx,pos_x_mm,pos_y_mm,pos_z_mm,leftIndex,rightIndex,epipolarError_pixels,triangulationError_mm,probability,status_bits
12,2,77.769867,-4.776422,896.997620,9,10,1.610273,0.639676,0.500000,64
12,3,162.611084,-10.592186,1875.565796,9,9,0.157618,0.127565,0.500000,0
12,4,-248.193542,-8.422086,1708.628052,8,10,0.109774,0.085109,0.500000,0
12,5,13341.343750,482.932373,-91818.609375,8,9,-1.382364,56.628468,0.500000,96
12,6,-25.569502,-18.043736,1653.559814,7,8,0.092744,0.067821,0.333333,0
12,7,-70.286880,-49.920200,4545.416504,7,7,-0.229895,0.454263,0.333333,64
12,8,-33.675205,-24.842951,2178.088135,7,6,-2.154205,2.061632,0.333333,0
12,9,56.864799,-15.439284,1355.982300,6,8,2.340711,1.395172,0.333333,0
12,10,118.120689,-32.267338,2816.605469,6,7,2.056909,2.503415,0.333333,0
12,11,70.753288,-20.038837,1687.213501,6,6,0.108309,0.079811,0.333333,0
12,12,98.886070,-25.903288,1723.167725,5,5,0.107942,0.080925,1.000000,0
12,13,-161.983734,-54.489754,1729.690796,4,4,0.119791,0.092969,1.000000,0
12,14,-513.826294,-148.068588,1936.055542,3,3,0.098234,0.087904,1.000000,0
12,15,-558.229553,-178.443420,1891.445923,2,2,0.080130,0.070410,1.000000,0
12,16,-472.474274,-192.833633,1933.312012,1,1,0.066585,0.059156,1.000000,0
12,17,-511.504974,-223.906616,1890.488159,0,0,0.087858,0.076612,1.000000,0
13,0,177.159683,68.813728,1914.068359,11,12,0.016418,0.013526,1.000000,0
13,1,-188.084335,31.610893,1757.438354,10,11,0.112816,0.089197,1.000000,0
13,2,108.132538,21.717306,1721.599487,9,10,0.097272,0.072780,0.500000,0
13,3,100.226151,19.891745,1595.728394,9,9,-0.587081,0.407993,0.500000,0
13,4,88.952881,22.793480,1824.664185,8,10,0.799094,0.634640,0.500000,0
13,5,82.079689,20.781342,1683.699341,8,9,0.113300,0.083201,0.500000,0
13,6,-8.623495,-2.022863,1642.858887,7,8,0.106380,0.077144,1.000000,0
13,7,77.773636,-4.774985,896.987366,6,7,1.598488,0.634987,0.500000,64
13,8,162.616119,-10.584002,1875.511475,6,6,0.157846,0.127745,0.500000,0
13,9,-248.198944,-8.421453,1708.639771,5,7,0.103177,0.079994,0.500000,0
13,10,13341.340820,482.639008,-91817.437500,5,6,-1.376812,56.396107,0.500000,96
13,11,-161.988037,-54.486496,1729.706787,4,4,0.122996,0.095457,1.000000,0
13,12,-513.822876,-148.072388,1936.071411,3,3,0.098556,0.088192,1.000000,0
13,13,-558.216797,-178.446335,1891.440430,2,2,0.077560,0.068153,1.000000,0
13,14,-472.483887,-192.833542,1933.328613,1,1,0.064781,0.057555,1.000000,0
13,15,-511.516205,-223.913528,1890.533203,0,0,0.082905,0.072297,1.000000,0
14,0,177.162430,68.816757,1914.068481,11,12,0.000154,0.000124,0.500000,0
14,1,141.376068,53.604187,1527.454590,11,11,-3.965380,2.623387,0.500000,0
14,2,135.435928,78.702316,2234.852295,10,12,4.093820,3.952502,0.500000,0
14,3,104.447899,59.222858,1723.912109,10,11,0.103901,0.077840,0.500000,0
14,4,82.069870,46.366882,1685.802612,9,10,0.113140,0.083161,1.000000,0
14,5,-188.072769,31.613165,1757.418091,8,9,0.106609,0.084288,1.000000,0
14,6,-0.795577,1.814342,1646.270752,7,8,0.124121,0.090102,1.000000,0
14,7,77.775085,-4.772839,896.988464,6,7,1.590182,0.631688,0.500000,64
14,8,162.621475,-10.579942,1875.540527,6,6,0.148640,0.120297,0.500000,0
14,9,-248.187912,-8.422793,1708.621460,5,7,0.109392,0.084812,0.500000,0
14,10,13342.080078,482.773895,-91825.835938,5,6,-1.371115,56.163620,0.500000,96
14,11,-161.979141,-54.488960,1729.698853,4,4,0.117212,0.090968,1.000000,0
14,12,-513.778381,-148.063492,1935.982056,3,3,0.107072,0.095806,1.000000,0
14,13,-558.224792,-178.451859,1891.476807,2,2,0.092855,0.081587,1.000000,0
14,14,-472.490265,-192.846451,1933.380737,1,1,0.065549,0.058238,1.000000,0
14,15,-511.497650,-223.910156,1890.507446,0,0,0.078009,0.068030,1.000000,0
15,0,177.153976,68.820328,1914.064087,10,12,0.006217,0.005120,1.000000,0
15,1,96.485321,49.991196,1739.040771,9,11,0.116907,0.088443,1.000000,0
15,2,71.121292,43.257904,1701.296021,8,10,0.117795,0.087488,1.000000,0
15,3,-188.086960,31.609392,1757.434692,7,9,0.105531,0.083437,1.000000,0
15,4,-17.937134,11.887199,1662.563232,6,8,0.121065,0.088918,1.000000,0
15,5,-248.201660,-8.422850,1708.644897,5,7,0.109436,0.084847,0.500000,0
15,6,13347.362305,482.914398,-91858.414062,5,6,-1.369710,56.125362,0.500000,96
15,7,-161.990555,-54.490337,1729.680054,4,4,0.123560,0.095893,1.000000,0
15,8,-513.837646,-148.076874,1936.091064,3,3,0.104856,0.093829,1.000000,0
15,9,-558.232910,-178.450668,1891.456177,2,2,0.091231,0.080160,1.000000,0
15,10,-472.513000,-192.850403,1933.410522,1,1,0.073527,0.065323,1.000000,0
15,11,-511.510040,-223.913986,1890.504639,0,0,0.092570,0.080719,1.000000,0
16,0,177.165802,68.827423,1914.071899,11,12,0.009944,0.008191,1.000000,0
16,1,-188.074844,31.615673,1757.448242,10,11,0.105673,0.083549,1.000000,0
16,2,89.653343,9.035505,1712.004028,9,10,0.097767,0.072918,1.000000,0
16,3,60.515385,3.345035,1676.839844,8,9,0.115204,0.084494,1.000000,0
16,4,77.775490,-4.774178,896.994812,7,8,1.603761,0.637087,0.500000,64
16,5,162.622238,-10.578134,1875.552979,7,7,0.173963,0.140792,0.500000,0
16,6,-248.191086,-8.418568,1708.643799,6,8,0.105212,0.081572,0.500000,0
16,7,13340.719727,482.262146,-91816.781250,6,7,-1.364018,55.862011,0.500000,96
16,8,-35.274029,-16.232456,1647.611450,5,6,0.105124,0.076700,0.500000,0
16,9,-103.872772,-50.738987,4853.537109,5,5,-2.660302,5.617062,0.500000,64
16,10,-161.978912,-54.479866,1729.692871,4,4,0.121276,0.094121,1.000000,0
16,11,-513.819519,-148.073776,1936.074097,3,3,0.115298,0.103170,1.000000,0
16,12,-558.213928,-178.447617,1891.460449,2,2,0.093865,0.082474,1.000000,0
16,13,-472.484131,-192.834122,1933.361328,1,1,0.069962,0.062156,1.000000,0
16,14,-511.496796,-223.903992,1890.493652,0,0,0.085473,0.074534,1.000000,0
17,0,177.153122,68.819748,1914.076172,10,12,0.019065,0.015707,1.000000,0
17,1,-188.088120,31.613060,1757.440918,9,11,0.111552,0.088198,1.000000,0
17,2,90.347832,6.329098,1692.751221,8,10,0.083236,0.061388,1.000000,0
17,3,56.898392,-1.334427,1662.151611,7,9,0.106755,0.077659,1.000000,0
