frame_idx,detection_idx,centerX_pixels,centerY_pixels,pixelsCount,width,height,status_bits
15,7,795.033875,577.846008,324,21,20,0
15,8,1134.132080,594.836548,322,20,21,0
15,9,1165.300659,602.399658,294,19,20,0
15,10,1249.716675,618.853088,120,9,17,0
16,0,425.652130,268.425568,169,15,15,0
16,1,484.391663,310.573395,167,15,15,0
16,2,370.323425,323.139862,171,15,15,0
16,3,436.975830,363.397034,155,14,13,0
16,4,825.475220,465.092957,330,21,20,0
16,5,990.014771,514.403809,356,21,22,0
16,6,708.180481,525.653076,338,21,21,0
16,7,1236.426392,523.983154,122,9,17,0
16,8,1121.109497,541.413635,345,20,22,0
16,9,1158.211548,548.907043,319,19,21,0
16,10,795.051453,577.853760,322,20,20,0
16,11,1249.729858,618.859375,120,9,17,0
17,0,425.632355,268.418457,168,15,15,0
17,1,484.373901,310.558411,167,15,15,0
17,2,370.310150,323.134888,167,15,15,0
17,3,436.963196,363.408386,155,14,13,0
17,4,825.461670,465.085724,330,21,20,0
17,5,980.856873,506.688446,376,22,22,0
17,6,708.162354,525.648254,340,21,21,0
17,7,1116.875977,535.038513,375,22,22,0
17,8,1160.503906,545.405823,346,21,21,0
17,9,795.033264,577.847534,323,20,20,0
17,10,1249.714355,618.845581,120,9,17,0
18,0,425.660370,268.412262,170,15,15,0
18,1,484.391785,310.573517,170,15,15,0
18,2,370.316254,323.151428,172,15,15,0
18,3,436.975983,363.405945,155,14,13,0
18,4,825.474854,465.084595,330,21,20,0
18,5,708.178101,525.649292,340,21,21,0
18,6,948.149902,555.044495,373,22,22,0
18,7,1131.091431,556.298584,334,20,21,0
18,8,1087.593750,562.637329,354,21,21,0
18,9,795.050110,577.847229,322,20,20,0
18,10,1249.731567,618.849609,120,9,17,0
19,0,425.641968,268.430450,171,15,15,0
19,1,484.380096,310.575348,170,15,15,0
19,2,370.305481,323.157684,170,15,15,0
19,3,436.962891,363.416138,155,14,13,0
19,4,825.460632,465.094330,329,21,20,0
19,5,708.163574,525.652405,340,21,21,0
19,6,1236.408569,523.982605,124,9,17,0
19,7,939.078430,539.155579,360,21,22,0
19,8,1072.090454,564.250244,340,20,22,0
19,9,1110.223877,564.789490,321,20,21,0
19,10,795.026855,577.853821,322,20,20,0
19,11,1249.713745,618.850098,121,9,17,0
20,0,425.649597,268.421295,168,15,15,0
20,1,484.387451,310.571228,169,15,15,0
20,2,370.318207,323.149170,170,15,15,0
20,3,436.980194,363.406219,155,14,13,0
20,4,825.472412,465.083832,330,21,20,0
20,5,1007.478760,466.940063,291,19,20,0
20,6,708.180908,525.646545,341,21,21,0
20,7,1122.210571,544.041077,285,18,20,0
20,8,795.042480,577.846680,323,20,20,0
20,9,1148.235840,589.582092,269,18,20,0
20,10,1249.724976,618.844666,121,9,17,0
21,0,425.639160,268.426758,169,15,15,0
21,1,484.370514,310.567230,167,15,15,0
21,2,370.294189,323.144379,170,15,15,0
21,3,436.961060,363.413300,155,14,13,0
21,4,825.465454,465.085175,330,21,20,0
21,5,708.167236,525.648071,339,21,21,0
21,6,959.969849,526.526611,376,22,22,0
21,7,1149.100342,538.022949,342,21,21,0
21,8,1099.780762,541.038452,371,22,22,0
21,9,795.034424,577.850586,321,20,20,0
21,10,1249.713989,618.851257,120,9,17,0
22,0,425.658875,268.413666,171,15,15,0
22,1,484.400513,310.558350,170,15,15,0
22,2,370.335999,323.136078,168,15,15,0
22,3,436.989990,363.396881,155,14,13,0
22,4,825.481873,465.080841,329,21,20,0
22,5,989.164856,495.839783,329,21,20,0
22,6,708.188843,525.642700,342,21,21,0
22,7,1236.434692,523.974731,123,9,17,0
22,8,1117.379639,551.576416,337,21,21,0
22,9,795.051575,577.844727,322,20,20,0
22,10,1156.434570,588.770935,317,20,20,0
22,11,1249.738281,618.832581,120,9,17,0
23,0,425.642334,268.425476,169,15,15,0
23,1,484.377258,310.565887,168,15,15,0
23,2,370.309723,323.141785,169,15,15,0
23,3,436.966339,363.401276,156,14,13,0
23,4,825.457764,465.085449,329,21,20,0
23,5,708.167542,525.649780,340,21,21,0
23,6,981.243408,534.777649,388,22,22,0
23,7,1118.032715,566.321594,381,22,22,0
23,8,795.034119,577.850281,322,20,20,0
23,9,1164.633423,578.352234,358,21,21,0
23,10,1249.710327,618.839844,120,9,17,0
24,0,425.642151,268.436615,169,15,15,0
24,1,484.382935,310.576508,167,15,15,0
24,2,370.319458,323.158081,170,15,15,0
24,3,436.964630,363.414429,155,14,13,0
24,4,825.463684,465.091095,330,21,20,0
24,5,1008.197693,509.916534,368,21,22,0
24,6,708.169739,525.652649,335,21,21,0
24,7,1236.421021,523.986511,122,9,17,0
24,8,1136.118042,564.412903,366,22,22,0
24,9,795.039917,577.855103,322,20,20,0
24,10,1177.462891,588.872620,353,21,22,0
24,11,1249.723755,618.840820,119,9,16,0
25,0,425.639099,268.431152,170,15,15,0
25,1,484.367188,310.571869,170,15,15,0
25,2,370.308258,323.144714,172,15,15,0
25,3,436.979370,363.410492,155,14,13,0
25,4,825.464172,465.084625,330,21,20,0
25,5,992.519348,508.381836,384,22,23,0
25,6,708.172974,525.650940,341,21,21,0
25,7,1126.648682,547.289978,377,22,22,0
25,8,1171.095825,562.032471,356,21,22,0
25,9,795.035645,577.852722,324,20,20,0
25,10,1249.713867,618.841614,119,9,16,0
26,0,425.640381,268.416138,170,15,15,0
26,1,484.379395,310.556488,170,15,15,0
26,2,370.297943,323.140350,171,15,15,0
26,3,436.974060,363.401886,155,14,13,0
26,4,825.462341,465.081635,330,21,20,0
26,5,708.173218,525.634583,342,21,21,0
26,6,965.976624,546.060608,382,22,22,0
26,7,1157.881958,551.276489,349,21,21,0
26,8,1106.430664,556.261902,374,22,22,0
26,9,795.035889,577.840149,323,20,20,0
26,10,1249.720825,618.834717,121,9,17,0
27,0,425.649323,268.415375,169,15,15,0
27,1,484.379974,310.554565,167,15,15,0
27,2,370.317505,323.134338,169,15,15,0
27,3,436.972809,363.397797,155,14,13,0
27,4,825.474182,465.074860,329,21,20,0
27,5,960.124817,516.894958,387,22,22,0
27,6,708.177490,525.639893,340,21,21,0
27,7,1236.420044,523.971313,124,9,17,0
27,8,1096.446899,536.653687,412,23,23,0
27,9,1151.922363,547.111023,386,22,22,0
27,10,795.048523,577.839294,321,20,20,0
27,11,1249.729370,618.828247,121,9,17,0
28,0,425.637329,268.429749,169,15,15,0
28,1,484.384186,310.570557,170,15,15,0
28,2,370.303711,323.151489,170,15,15,0
28,3,436.980133,363.414642,155,14,13,0
28,4,825.463562,465.094818,330,21,20,0
28,5,1142.310303,500.087738,361,21,22,0
28,6,1092.566895,516.237549,377,22,22,0
28,7,708.169495,525.656433,341,21,21,0
28,8,953.580200,539.060547,384,22,22,0
28,9,795.034668,577.858826,322,20,20,0
28,10,1249.711060,618.846680,121,9,16,0
29,0,425.640228,268.424927,169,15,15,0
29,1,484.374878,310.580688,168,15,15,0
29,2,370.302246,323.146515,173,15,15,0
29,3,436.943237,363.401978,155,14,13,0
29,4,825.457275,465.089783,329,21,20,0
29,5,708.160950,525.650513,340,21,21,0
29,6,981.670349,531.643555,383,22,22,0
29,7,1120.200806,559.929016,380,22,22,0
29,8,1172.049194,562.958618,363,22,22,0
