frame_idx,marker_idx,geometryId,trackingId,registrationError_mm,tx_mm,ty_mm,tz_mm,r00,r01,r02,r10,r11,r12,r20,r21,r22,presenceMask,fidCorresp0,fidCorresp1,fidCorresp2,fidCorresp3,fidCorresp4,fidCorresp5,status_bits
45,0,420,45,0.147546,-143.568130,-38.863811,1650.545532,0.877167,0.414293,-0.242776,0.209574,0.124594,0.969822,0.432038,-0.901575,0.022464,7,7,4,3,4294967295,4294967295,4294967295,0
46,0,420,46,0.157876,-146.196701,-57.186821,1640.540283,0.894382,0.422863,-0.145836,0.111843,0.104267,0.988241,0.433096,-0.900175,0.045960,7,10,9,6,4294967295,4294967295,4294967295,0
47,0,420,47,0.168324,-136.309265,-56.053833,1644.494141,0.877126,0.425909,-0.221925,0.214122,0.066818,0.974519,0.429885,-0.902295,-0.032589,7,9,8,2,4294967295,4294967295,4294967295,0
48,0,420,48,0.184879,-158.175781,-20.599537,1633.183594,0.919894,0.384141,-0.078934,0.016190,0.163906,0.986343,0.391833,-0.908609,0.144557,7,16,10,13,4294967295,4294967295,4294967295,0
49,0,420,49,0.162878,-133.000778,-45.200047,1646.219482,0.855315,0.443260,-0.268247,0.239699,0.120461,0.963345,0.459326,-0.888262,-0.003217,7,8,3,2,4294967295,4294967295,4294967295,0
50,0,420,50,0.179552,-88.540657,-71.321564,1635.987305,0.664851,0.580821,-0.469701,0.455988,0.182470,0.871079,0.591648,-0.793317,-0.143532,7,8,5,1,4294967295,4294967295,4294967295,0
51,0,420,51,0.177315,-143.500610,-48.513622,1633.415161,0.880693,0.426911,-0.205249,0.186299,0.086215,0.978703,0.435515,-0.900174,-0.003604,7,9,4,2,4294967295,4294967295,4294967295,0
52,0,420,52,0.156865,-135.842926,-52.111004,1629.665405,0.840383,0.483361,-0.245191,0.214842,0.118243,0.969464,0.497593,-0.867399,-0.004477,7,8,3,2,4294967295,4294967295,4294967295,0
53,0,420,53,0.166344,-177.919937,11.582595,1634.452881,0.945700,0.318874,0.063012,-0.116642,0.151984,0.981476,0.303391,-0.935532,0.180925,7,2,7,12,4294967295,4294967295,4294967295,0
54,0,420,54,0.144234,-143.416489,-51.638916,1664.846436,0.902975,0.318931,-0.287957,0.312328,-0.026910,0.949593,0.295106,-0.947396,-0.123911,7,9,3,2,4294967295,4294967295,4294967295,0
55,0,420,55,0.158516,-150.629517,3.257496,1629.608521,0.924843,0.371929,-0.079587,-0.026365,0.271431,0.962097,0.379434,-0.887690,0.260837,7,5,2,7,4294967295,4294967295,4294967295,0
56,0,420,56,0.160902,-115.626244,-45.490318,1643.884644,0.839798,0.353689,-0.411877,0.378520,0.162395,0.911236,0.389180,-0.921158,0.002501,7,4,2,1,4294967295,4294967295,4294967295,0
57,0,420,57,0.180481,-115.754143,-35.245293,1642.809937,0.846889,0.353522,-0.397241,0.325461,0.246180,0.912946,0.420540,-0.902451,0.093430,7,4,2,1,4294967295,4294967295,4294967295,0
58,0,420,58,0.181634,-107.449081,-55.226219,1653.354126,0.771935,0.362061,-0.522521,0.510306,0.137226,0.848974,0.379085,-0.921998,-0.078832,7,4,2,0,4294967295,4294967295,4294967295,0
59,0,420,59,0.181024,-171.713394,16.118959,1646.465454,0.956922,0.290344,-0.000507,-0.076815,0.254853,0.963924,0.279999,-0.922361,0.266177,7,2,5,6,4294967295,4294967295,4294967295,0
60,0,420,60,0.160960,-135.352036,-5.435207,1635.226929,0.903769,0.337439,-0.263319,0.186165,0.244063,0.951722,0.385415,-0.909158,0.157757,7,6,4,1,4294967295,4294967295,4294967295,0
61,0,420,61,0.160393,-131.564209,-41.475670,1658.872437,0.918003,0.212199,-0.335026,0.294373,0.201466,0.934214,0.265735,-0.956234,0.122481,7,6,5,1,4294967295,4294967295,4294967295,0
62,0,420,62,0.154504,-153.295273,-7.715164,1640.824341,0.945756,0.289263,-0.147893,0.069296,0.265136,0.961718,0.317401,-0.919799,0.230709,7,6,2,5,4294967295,4294967295,4294967295,0
63,0,420,63,0.170932,-169.696732,23.583605,1638.785278,0.943420,0.331201,-0.016288,-0.095600,0.318693,0.943025,0.317522,-0.888111,0.332324,7,2,3,4,4294967295,4294967295,4294967295,0
64,0,420,64,0.144135,-148.434113,-16.118431,1646.426392,0.914144,0.306692,-0.265104,0.204226,0.216498,0.954683,0.350188,-0.926859,0.135276,7,4,2,1,4294967295,4294967295,4294967295,0
65,0,420,65,0.139451,-119.730713,-48.969513,1645.312500,0.846727,0.386049,-0.366087,0.330345,0.157892,0.930560,0.417044,-0.908866,0.006162,7,9,3,1,4294967295,4294967295,4294967295,0
66,0,420,66,0.150770,-134.927536,-27.377598,1657.772705,0.893049,0.330865,-0.304947,0.278961,0.124640,0.952179,0.353051,-0.935411,0.019011,7,4,2,1,4294967295,4294967295,4294967295,0
67,0,420,67,0.166291,-152.948746,-20.135977,1641.756836,0.930483,0.334643,-0.149049,0.091074,0.182779,0.978927,0.354834,-0.924449,0.139596,7,7,5,2,4294967295,4294967295,4294967295,0
68,0,420,68,0.172434,-154.814331,-8.447066,1642.155151,0.933745,0.295611,-0.201830,0.137384,0.224698,0.964695,0.330525,-0.928507,0.169199,7,10,9,4,4294967295,4294967295,4294967295,0
69,0,420,69,0.143233,-140.115387,-21.005266,1655.508423,0.905497,0.283367,-0.315878,0.278991,0.163354,0.946298,0.319749,-0.944997,0.068860,7,4,2,1,4294967295,4294967295,4294967295,0
