frame_idx,side,sdk_det_count,our_blob_count,count_diff,sdk_cx,sdk_cy,sdk_area,our_cx,our_cy,our_area,centroid_dist_px
8,right,12,12,0,754.998047,443.186249,359,754.998047,443.186249,359,0.000000
8,right,12,12,0,1072.039917,455.643127,228,1072.039917,455.643127,228,0.000000
8,right,12,12,0,1274.938477,478.105713,223,1274.938477,478.105713,223,0.000000
8,right,12,12,0,1202.745361,490.429962,249,1202.745361,490.429962,249,0.000000
8,right,12,12,0,641.116272,499.727661,361,641.116272,499.727661,361,0.000000
8,right,12,12,0,1034.194824,581.567871,234,1034.194824,581.567871,234,0.000000
8,right,12,12,0,1234.299194,586.673645,243,1234.299194,586.673645,243,0.000000
9,left,10,10,0,425.641266,268.601410,168,425.641266,268.601410,168,0.000000
9,left,10,10,0,484.376312,310.766327,167,484.376312,310.766327,167,0.000000
9,left,10,10,0,370.298798,323.325256,172,370.298798,323.325256,172,0.000000
9,left,10,10,0,1195.328979,337.975098,317,1195.328979,337.975098,317,0.000000
9,left,10,10,0,1166.553589,345.201904,340,1166.553589,345.201904,340,0.000000
9,left,10,10,0,436.965576,363.602234,155,436.965576,363.602234,155,0.000000
9,left,10,10,0,1040.227783,379.898071,367,1040.227783,379.898071,367,0.000000
9,left,10,10,0,1299.355225,493.392029,111,1299.355225,493.392029,111,0.000000
9,left,10,10,0,1249.440796,505.042999,137,1249.440796,505.042999,137,0.000000
9,left,10,10,0,1271.064697,599.592529,137,1271.064697,599.592529,137,0.000000
9,right,10,10,0,426.588684,271.941681,165,426.588684,271.941681,165,0.000000
9,right,10,10,0,488.504578,310.319214,163,488.502106,310.320404,163,0.002744
9,right,10,10,0,1065.086792,322.549744,380,1065.086792,322.549744,380,0.000000
9,right,10,10,0,378.970001,324.771637,165,378.970001,324.771637,165,0.000000
9,right,10,10,0,1022.228149,330.718689,405,1022.228149,330.718689,405,0.000000
9,right,10,10,0,447.634735,361.373932,154,447.634735,361.373932,154,0.000000
9,right,10,10,0,883.088013,368.111084,415,883.088013,368.111084,415,0.000000
9,right,10,10,0,1274.904175,478.109741,225,1274.904175,478.109741,225,0.000000
9,right,10,10,0,1202.715088,490.426697,247,1202.715088,490.426697,247,0.000000
9,right,10,10,0,1234.267822,586.666016,241,1234.267822,586.666016,241,0.000000
