Timestamp;Index;CoordX;CoordY;CoordZ;Epipolar;Triangulation;Probability;LeftIndex;RightIndex
0x000000005a398be7;0;92.7547;46.8743;826.4468;-0.5067;0.1850;1.0000;3;3
0x000000005a398be7;1;143.2600;28.3029;796.9409;0.2002;0.0697;1.0000;2;2
0x000000005a398be7;2;82.4112;-7.1803;813.7548;-0.0305;0.0110;1.0000;1;1
0x000000005a398be7;3;118.4284;-33.3438;789.5250;0.0380;0.0132;1.0000;0;0
0x000000005a39d1dd;0;92.8029;46.9018;826.4323;-0.5245;0.1915;1.0000;3;3
0x000000005a39d1dd;1;143.3220;28.3313;796.9536;0.2050;0.0714;1.0000;2;2
0x000000005a39d1dd;2;82.4704;-7.1588;813.7426;-0.0292;0.0106;1.0000;1;1
0x000000005a39d1dd;3;118.5026;-33.3195;789.5250;0.0436;0.0151;1.0000;0;0
0x000000005a39f4d9;0;92.8195;46.9131;826.4145;-0.5197;0.1897;1.0000;3;3
0x000000005a39f4d9;1;143.3475;28.3404;796.9565;0.1988;0.0692;1.0000;2;2
0x000000005a39f4d9;2;82.4917;-7.1491;813.7264;-0.0255;0.0092;1.0000;1;1
0x000000005a39f4d9;3;118.5301;-33.3101;789.5261;0.0367;0.0127;1.0000;0;0
0x000000005a3a3acf;0;92.8268;46.9307;826.3645;-0.5186;0.1893;1.0000;3;3
0x000000005a3a3acf;1;143.3693;28.3579;796.9246;0.1984;0.0691;1.0000;2;2
0x000000005a3a3acf;2;82.5007;-7.1253;813.6657;-0.0177;0.0064;1.0000;1;1
0x000000005a3a3acf;3;118.5509;-33.2870;789.4768;0.0435;0.0151;1.0000;0;0
0x000000005a3a5221;0;92.8243;46.9413;826.3345;-0.5181;0.1891;1.0000;3;3
0x000000005a3a5221;1;143.3652;28.3669;796.9003;0.1969;0.0685;1.0000;2;2
0x000000005a3a5221;2;82.4940;-7.1156;813.6321;-0.0205;0.0074;1.0000;1;1
0x000000005a3a5221;3;118.5417;-33.2769;789.4409;0.0408;0.0142;1.0000;0;0
0x000000005a3a9818;0;92.7826;46.9658;826.2507;-0.5187;0.1893;1.0000;3;3
0x000000005a3a9818;1;143.3153;28.3989;796.7923;0.2014;0.0701;1.0000;2;2
0x000000005a3a9818;2;82.4377;-7.0800;813.5102;-0.0266;0.0096;1.0000;1;1
0x000000005a3a9818;3;118.4771;-33.2330;789.3016;0.0449;0.0156;1.0000;0;0
0x000000005a3ac6bc;0;92.7365;46.9732;826.1838;-0.5132;0.1873;1.0000;3;3
0x000000005a3ac6bc;1;143.2635;28.4119;796.7148;0.2025;0.0705;1.0000;2;2
0x000000005a3ac6bc;2;82.3761;-7.0607;813.4075;-0.0224;0.0081;1.0000;1;1
0x000000005a3ac6bc;3;118.4077;-33.2081;789.1849;0.0391;0.0136;1.0000;0;0
0x000000005a3b0cb3;0;92.6424;46.9613;826.0930;-0.5049;0.1842;1.0000;3;3
0x000000005a3b0cb3;1;143.1603;28.4003;796.5967;0.1971;0.0686;1.0000;2;2
0x000000005a3b0cb3;2;82.2636;-7.0601;813.2750;-0.0162;0.0059;1.0000;1;1
0x000000005a3b0cb3;3;118.2785;-33.2040;789.0286;0.0379;0.0131;1.0000;0;0
0x000000005a3b2405;0;92.6117;46.9534;826.0668;-0.5150;0.1879;1.0000;3;3
0x000000005a3b2405;1;143.1219;28.3876;796.5573;0.2019;0.0703;1.0000;2;2
0x000000005a3b2405;2;82.2226;-7.0659;813.2410;-0.0207;0.0075;1.0000;1;1
0x000000005a3b2405;3;118.2306;-33.2155;788.9888;0.0402;0.0140;1.0000;0;0
0x000000005a3b69fb;0;92.5108;46.9043;825.9993;-0.5118;0.1868;1.0000;3;3
0x000000005a3b69fb;1;143.0000;28.3178;796.4769;0.1980;0.0689;1.0000;2;2
0x000000005a3b69fb;2;82.0911;-7.1113;813.1879;-0.0220;0.0079;1.0000;1;1
0x000000005a3b69fb;3;118.0781;-33.2749;788.9132;0.0387;0.0134;1.0000;0;0
0x000000005a3b8cf6;0;92.4666;46.8724;825.9847;-0.5002;0.1825;1.0000;3;3
0x000000005a3b8cf6;1;142.9486;28.2719;796.4598;0.1981;0.0689;1.0000;2;2
0x000000005a3b8cf6;2;82.0301;-7.1388;813.1779;-0.0205;0.0074;1.0000;1;1
0x000000005a3b8cf6;3;118.0099;-33.3147;788.9016;0.0375;0.0130;1.0000;0;0
0x000000005a3bd2ed;0;92.3986;46.8231;825.9626;-0.5102;0.1862;1.0000;3;3
0x000000005a3bd2ed;1;142.8737;28.1987;796.4446;0.1968;0.0685;1.0000;2;2
0x000000005a3bd2ed;2;81.9472;-7.1901;813.1760;-0.0334;0.0121;1.0000;1;1
0x000000005a3bd2ed;3;117.9146;-33.3831;788.9090;0.0469;0.0163;1.0000;0;0
0x000000005a3bf5e8;0;92.3728;46.8036;825.9700;-0.5140;0.1876;1.0000;3;3
0x000000005a3bf5e8;1;142.8492;28.1768;796.4518;0.1917;0.0667;1.0000;2;2
0x000000005a3bf5e8;2;81.9224;-7.2110;813.1777;-0.0282;0.0102;1.0000;1;1
0x000000005a3bf5e8;3;117.8923;-33.4057;788.9213;0.0392;0.0136;1.0000;0;0
0x000000005a3c3bdf;0;92.3365;46.7815;825.9782;-0.5027;0.1834;1.0000;3;3
0x000000005a3c3bdf;1;142.8225;28.1551;796.4747;0.1987;0.0691;1.0000;2;2
0x000000005a3c3bdf;2;81.8940;-7.2338;813.1937;-0.0323;0.0117;1.0000;1;1
0x000000005a3c3bdf;3;117.8719;-33.4277;788.9456;0.0391;0.0136;1.0000;0;0
0x000000005a3c5331;0;92.3272;46.7814;825.9774;-0.5105;0.1863;1.0000;3;3
0x000000005a3c5331;1;142.8152;28.1522;796.4804;0.2033;0.0707;1.0000;2;2
0x000000005a3c5331;2;81.8853;-7.2379;813.2009;-0.0302;0.0109;1.0000;1;1
0x000000005a3c5331;3;117.8647;-33.4328;788.9585;0.0374;0.0130;1.0000;0;0
0x000000005a3c9927;0;92.2965;46.7791;825.9858;-0.5072;0.1851;1.0000;3;3
0x000000005a3c9927;1;142.7762;28.1477;796.4723;0.1966;0.0684;1.0000;2;2
0x000000005a3c9927;2;81.8561;-7.2419;813.2256;-0.0248;0.0090;1.0000;1;1
0x000000005a3c9927;3;117.8309;-33.4413;788.9740;0.0345;0.0120;1.0000;0;0
0x000000005a3cc7cc;0;92.2795;46.7884;825.9929;-0.5039;0.1839;1.0000;3;3
0x000000005a3cc7cc;1;142.7440;28.1504;796.4510;0.1924;0.0670;1.0000;2;2
0x000000005a3cc7cc;2;81.8315;-7.2346;813.2437;-0.0297;0.0107;1.0000;1;1
0x000000005a3cc7cc;3;117.7936;-33.4384;788.9785;0.0376;0.0130;1.0000;0;0
0x000000005a3d0dc2;0;92.2800;46.8100;826.0075;-0.5011;0.1829;1.0000;3;3
0x000000005a3d0dc2;1;142.7326;28.1658;796.4479;0.1943;0.0676;1.0000;2;2
0x000000005a3d0dc2;2;81.8210;-7.2103;813.2616;-0.0291;0.0105;1.0000;1;1
0x000000005a3d0dc2;3;117.7722;-33.4211;788.9857;0.0417;0.0145;1.0000;0;0
0x000000005a3d2514;0;92.2878;46.8217;826.0048;-0.5082;0.1854;1.0000;3;3
0x000000005a3d2514;1;142.7430;28.1761;796.4530;0.1957;0.0681;1.0000;2;2
0x000000005a3d2514;2;81.8316;-7.2023;813.2593;-0.0285;0.0103;1.0000;1;1
0x000000005a3d2514;3;117.7817;-33.4119;788.9959;0.0423;0.0147;1.0000;0;0
0x000000005a3d6b0b;0;92.3368;46.8489;826.0065;-0.5032;0.1836;1.0000;3;3
